,Date,DAL_High_Prices,DAL_Low_Prices,DAL_Closed_Prices
622,2020-09-17,74.24,70.875,71.88
623,2020-09-16,75.2,70.04,74.12
624,2020-09-15,71.825,67.69,71.07
625,2020-09-14,67.925,64.5253,67.8
626,2020-09-11,66.46,63.38,64.15
627,2020-09-10,69.825,66.0,66.19
628,2020-09-09,70.17,67.96,68.86
629,2020-09-08,70.75,68.79,70.05
630,2020-09-04,72.48,68.84,70.24
631,2020-09-03,70.98,66.87,68.0
632,2020-09-02,68.0299,65.96,67.84
633,2020-09-01,67.88,65.9,67.2
634,2020-08-31,69.83,67.44,67.85
635,2020-08-28,69.9,66.95,69.84
636,2020-08-27,69.1,66.62,67.57
637,2020-08-26,68.61,65.75,66.31
638,2020-08-25,70.14,66.52,68.65
639,2020-08-24,68.52,63.86,68.5
640,2020-08-21,65.54,63.9,64.52
641,2020-08-20,65.45,62.9,64.87
642,2020-08-19,65.64,63.74,63.88
643,2020-08-18,67.5,63.88,65.13
644,2020-08-17,68.39,66.18,68.18
